Index,demand,emerg_cost,prob_fail,fixed cost,lat,lon,State,State_cd
0,297.60021,10000,0.0116,115800,38.56685,121.46736,California,CA
1,179.90455,10000,0.0028,101800,42.66575,73.799017,New York,NY
2,169.8651,10000,0.0048,72600,30.30588,97.750522,Texas,TX
3,129.37926,10000,0.0132,72400,30.457,84.281399,Georgia,GA
4,118.81643,10000,0.0239,38400,40.27605,76.884503,Pennsylvania,PA
5,114.30602,10000,0.0065,59200,39.781433,89.644654,Illinois,IL
6,108.47115,10000,0.0044,66000,39.988933,82.987381,Ohio,OH
7,92.95297,10000,0.0002,48400,42.7091,84.553996,Michigan,MI
8,77.30188,10000,0.0045,71300,40.2234,74.764224,New Jersey,NJ
9,66.28637,10000,0.0117,96600,35.82195,78.658753,North Carolina,NC
10,64.78216,10000,0.005,71200,33.7629,84.422592,Georgia,GA
11,61.87358,10000,0.0242,66600,37.53105,77.474584,Virginia,VA
12,60.16425,10000,0.0158,161400,42.336029,71.017892,Massachusetts,MA
13,55.44159,10000,0.0082,60800,39.7764,86.146196,Indiana,IN
14,51.17073,10000,0.0232,61500,38.571902,92.190459,Missouri,MO
15,48.91769,10000,0.0057,75200,43.0798,89.387519,Wisconsin,WI
16,48.77185,10000,0.0081,74400,36.17155,86.784829,Tennessee,TN
17,48.66692,10000,0.0132,77800,47.041917,122.893766,Washington,WA
18,47.81468,10000,0.0133,138500,38.97165,76.503033,Maryland,MD
19,43.75099,10000,0.0099,70900,44.947744,93.103686,Minnesota,MN
20,42.19973,10000,0.0233,67900,30.448967,91.126043,Louisiana,LA
21,40.40587,10000,0.0235,62200,32.3544,86.284287,Alabama,AL
22,36.85296,10000,0.0197,61500,38.19077,84.865203,Kentucky,KY
23,36.65228,10000,0.0006,77100,33.54255,112.071399,Arizona,AZ
24,34.86703,10000,0.0178,72600,34.039236,80.886341,South Carolina,SC
25,32.94394,10000,0.0169,79000,39.768035,104.872655,Colorado,CO
26,32.87116,10000,0.0236,133800,41.7657,72.683866,Connecticut,CT
27,31.45585,10000,0.0118,54900,35.46705,97.513491,Oklahoma,OK
28,28.42321,10000,0.0143,60300,44.9245,123.022057,Oregon,OR
29,27.76755,10000,0.0176,49500,41.576738,93.617405,Iowa,IA
30,25.73216,10000,0.01,54600,32.3205,90.207591,Mississippi,MS
31,24.77574,10000,0.0065,48800,39.0379,95.691999,Kansas,KS
32,23.50725,10000,0.0238,64200,34.7224,92.354076,Arkansas,AR
33,17.93477,10000,0.0172,66100,38.35055,81.630439,West Virginia,WV
34,17.2285,10000,0.0006,67200,40.777267,111.929921,Utah,UT
35,15.78385,10000,0.0113,61700,40.8164,96.688171,Kansas,KS
36,15.15069,10000,0.0137,99000,35.678502,105.954149,New Mexico,NM
37,12.27928,10000,0.0103,79500,44.330647,69.729714,Maine,ME
38,12.01833,10000,0.0183,99300,39.148328,119.743243,California,CA
39,11.09252,10000,0.0053,112400,43.231594,71.560077,New Hampshire,NH
40,10.06749,10000,0.0177,67700,43.606651,116.2261,Idaho,ID
41,10.03464,10000,0.0009,113000,41.82195,71.419732,Rhode Island,RI
42,7.99065,10000,0.0047,63200,46.596522,112.020381,Montana,MT
43,6.96004,10000,0.012,59500,44.372982,100.322483,South Dakota,SD
44,6.66168,10000,0.0128,88700,39.158691,75.517441,Delaware,DE
45,6.388,10000,0.0105,67900,46.805467,100.767298,North Dakota,ND
46,6.069,10000,0.0011,123900,38.90505,77.016167,Maryland,MD
47,5.62758,10000,0.0238,94100,44.266482,72.571854,Vermont,VT
48,4.53588,10000,0.0153,68700,41.14545,104.792349,Colorado,CO
