Index,demand,emerg_cost,prob_fail,fixed cost,lat,lon
0,732.2564,10000,0.001,100000,40.67054,73.94548
1,348.5398,10000,0.004,100000,34.1121,118.4112
2,278.3726,10000,0.023,100000,41.83705,87.68497
3,163.0553,10000,0.003,100000,29.76805,95.38733
4,158.5577,10000,0.022,100000,40.00682,75.13468
5,111.0549,10000,0.007,100000,32.81495,117.1358
6,102.7974,10000,0.005,100000,42.3831,83.1022
7,100.6877,10000,0.006,100000,32.79315,96.76747
8,98.3403,10000,0,100000,33.54255,112.0714
9,93.5933,10000,0.02,100000,29.45765,98.50536
10,78.2248,10000,0.015,100000,37.304,121.8498
11,73.6014,10000,0.02,100000,39.3008,76.61062
12,73.1327,10000,0.02,100000,39.7764,86.1462
13,72.3959,10000,0.016,100000,37.79325,122.5548
14,63.523,10000,0,100000,30.33454,81.6577
15,63.291,10000,0.012,100000,39.98893,82.98738
16,62.8088,10000,0.017,100000,43.06344,87.96674
17,61.0337,10000,0.024,100000,35.1056,90.00699
18,60.69,10000,0.002,100000,38.90505,77.01617
19,57.4283,10000,0.022,100000,42.33603,71.01789
20,51.6259,10000,0.004,100000,47.6218,122.3503
21,51.5342,10000,0.007,100000,31.84925,106.4375
22,50.5616,10000,0.007,100000,41.4797,81.67851
23,49.6938,10000,0.02,100000,30.06584,89.93136
24,48.8374,10000,0.024,100000,36.17155,86.78483
25,46.761,10000,0.017,100000,39.7679,104.8728
26,46.5622,10000,0.012,100000,30.30493,97.75066
27,44.4719,10000,0.002,100000,35.46705,97.51349
28,43.7319,10000,0.006,100000,45.53856,122.6582
29,43.5146,10000,0.025,100000,39.12247,94.55478
30,42.9433,10000,0.02,100000,33.7889,118.1598
31,40.539,10000,0.004,100000,32.19582,110.8917
32,39.6685,10000,0.018,100000,38.63605,90.2443
33,39.5934,10000,0.006,100000,35.19755,80.83451
34,39.4017,10000,0.019,100000,33.7629,84.42259
35,39.3069,10000,0.014,100000,36.73936,76.04367
36,38.4736,10000,0.01,100000,35.11722,106.6246
37,37.2242,10000,0.011,100000,37.77154,122.2246
38,36.9879,10000,0.008,100000,40.43921,79.9767
39,36.9365,10000,0.004,100000,38.56685,121.4674
40,36.8383,10000,0.008,100000,44.96185,93.26685
41,36.7302,10000,0.018,100000,36.12775,95.91641
42,36.404,10000,0.021,100000,39.1398,84.50596
43,35.8548,10000,0,100000,25.77567,80.21085
44,35.4202,10000,0,100000,36.7806,119.7929
45,33.5795,10000,0.023,100000,41.2639,96.01175
46,33.2943,10000,0.018,100000,41.66395,83.58165
47,32.8123,10000,0.006,100000,42.8898,78.85968
48,30.4011,10000,0.007,100000,37.68735,97.34267
49,29.3742,10000,0.024,100000,33.7364,117.8821
50,28.8091,10000,0.015,100000,33.41774,111.7403
51,28.114,10000,0.006,100000,38.8632,104.7599
52,28.0015,10000,0.018,100000,27.959,82.48212
53,27.5221,10000,0.022,100000,40.7241,74.17325
54,27.2235,10000,0.007,100000,44.94774,93.10369
55,26.9063,10000,0.015,100000,38.22475,85.74116
56,26.6406,10000,0,100000,33.8389,117.8723
57,26.5968,10000,0.007,100000,33.52758,86.80004
58,26.1721,10000,0.008,100000,32.6945,97.12751
59,26.1229,10000,0.016,100000,36.9232,76.24494
60,25.8295,10000,0.004,100000,36.20575,115.2228
61,25.7453,10000,0.01,100000,27.70573,97.29283
62,23.8629,10000,0.019,100000,27.758,82.64212
63,23.1636,10000,0.012,100000,43.16865,77.61584
64,22.8537,10000,0.011,100000,40.7113,74.06496
65,22.6505,10000,0.024,100000,33.94044,117.3974
66,22.5366,10000,0.021,100000,38.04275,84.45946
67,22.3019,10000,0.013,100000,41.0804,81.5215
68,22.2103,10000,0.016,100000,39.71227,104.7298
69,21.9531,10000,0.016,100000,30.44897,91.12604
70,21.0943,10000,0.021,100000,37.96985,121.3067
71,20.7951,10000,0.025,100000,35.82195,78.65875
72,20.3056,10000,0.017,100000,37.53105,77.47458
73,19.8525,10000,0.017,100000,32.47195,93.80005
74,19.6637,10000,0.003,100000,32.31973,90.20854
75,19.6278,10000,0.008,100000,30.67745,88.08896
76,19.3187,10000,0.006,100000,41.57674,93.61741
77,19.1972,10000,0.018,100000,40.8164,96.68817
78,19.1262,10000,0.02,100000,43.0798,89.38752
79,18.9126,10000,0.001,100000,42.96125,85.65573
80,18.8082,10000,0.017,100000,40.94703,73.86751
81,18.8004,10000,0.018,100000,25.86175,80.29677
82,18.7106,10000,0.005,100000,32.3544,86.28429
83,18.6206,10000,0.018,100000,33.57585,101.8754
84,18.3521,10000,0.012,100000,36.0789,79.82689
85,18.2044,10000,0.005,100000,39.77907,84.19736
86,18.1519,10000,0.024,100000,33.69176,118.0081
87,18.065,10000,0.005,100000,32.9108,96.6293
88,18.0038,10000,0.008,100000,34.17672,118.2533
89,17.7196,10000,0.005,100000,47.6723,117.414
90,17.6664,10000,0.009,100000,47.252,122.4598
91,17.5795,10000,0.014,100000,34.7224,92.35408
92,17.482,10000,0.004,100000,35.3577,119.0046
93,17.3339,10000,0.023,100000,37.52851,121.9971
94,17.3072,10000,0,100000,41.07375,85.13902
95,17.0936,10000,0.017,100000,38.87872,77.10191
96,17.0045,10000,0.012,100000,37.07585,76.51416
97,16.9759,10000,0.02,100000,42.26963,71.80892
98,16.5121,10000,0.006,100000,35.97455,83.94629
99,16.473,10000,0.024,100000,37.6598,120.9939
100,16.4693,10000,0.015,100000,28.50475,81.37425
101,16.4164,10000,0.001,100000,34.13975,117.2923
102,16.386,10000,0.01,100000,43.04106,76.14407
103,16.0728,10000,0.009,100000,41.82195,71.41973
104,15.9936,10000,0.025,100000,40.77727,111.9299
105,15.9789,10000,0.009,100000,34.70705,86.62772
106,15.7615,10000,0.014,100000,35.2035,101.8188
107,15.6983,10000,0.013,100000,42.11503,72.53905
108,15.5037,10000,0.001,100000,32.85769,96.96934
109,15.2466,10000,0.009,100000,35.06621,85.25696
110,15.1976,10000,0.013,100000,36.67881,76.30877
111,14.9767,10000,0.002,100000,39.11847,94.72712
112,14.9428,10000,0.002,100000,29.9976,90.1774
113,14.9377,10000,0.025,100000,26.14255,80.1395
114,14.8134,10000,0.019,100000,33.58413,112.2016
115,14.4864,10000,0.022,100000,42.493,83.0282
116,14.3485,10000,0.006,100000,36.1021,80.26291
117,14.305,10000,0.013,100000,33.77875,117.9594
118,14.2216,10000,0.02,100000,34.19743,119.2137
119,14.1865,10000,0.003,100000,33.38835,111.9306
120,14.1686,10000,0.011,100000,41.18632,73.19621
121,14.0891,10000,0,100000,40.91445,74.16341
122,14.0761,10000,0.01,100000,43.02285,83.6928
123,14.0494,10000,0.022,100000,37.1962,93.2861
124,13.9739,10000,0.025,100000,41.7657,72.68387
125,13.9426,10000,0.017,100000,42.2703,89.06315
126,13.756,10000,0.019,100000,32.02436,81.13165
127,13.6611,10000,0.013,100000,35.98045,78.91498
128,13.5163,10000,0.024,100000,32.62845,117.0447
129,13.385,10000,0.01,100000,39.5387,119.8225
130,13.3793,10000,0.023,100000,37.04985,76.29498
131,13.3179,10000,0.016,100000,34.05441,117.6058
132,13.3107,10000,0.015,100000,33.8348,118.3404
133,13.1723,10000,0.022,100000,34.05895,117.7614
134,13.1591,10000,0.017,100000,34.1607,118.1387
135,13.0474,10000,0.005,100000,41.3101,72.92407
136,13.0069,10000,0.019,100000,33.68599,111.8705
137,12.8713,10000,0.005,100000,33.0462,96.74666
138,12.8398,10000,0.019,100000,33.22507,117.3103
139,12.7321,10000,0.004,100000,42.7096,84.55489
140,12.6481,10000,0.023,100000,39.6952,105.1136
141,12.6379,10000,0.024,100000,34.03265,118.1686
142,12.6272,10000,0.016,100000,37.98415,87.5433
143,12.5738,10000,0.011,100000,43.60665,116.2261
144,12.4773,10000,0.012,100000,30.457,84.2814
145,12.4682,10000,0.023,100000,36.08083,115.1336
146,12.2899,10000,0.011,100000,27.5343,99.4866
147,12.1697,10000,0.014,100000,26.02982,80.16476
148,11.9883,10000,0.005,100000,39.0379,95.692
149,11.9363,10000,0.025,100000,29.6606,95.15202
